,Group,Profit Factor (Corr),Sharpe Ratio (Corr),Annualized Backtest Return (Corr),Profit per Trade (Corr)
0,1,0.3974318958740212,0.3350137585317775,0.8046470937625804,0.6535865132280155
1,2,-0.24268241994002188,0.17904520994079878,0.6946189833171909,0.2558903629788824
2,3,-0.01071202641024315,0.9889506243541341,-0.1312418415737915,-0.7981284572959529
3,5,-0.7386153782784161,0.2912501922756231,-0.9134793653194377,-0.9169233288457208
4,8,-0.5678654096138234,-0.418685656619816,0.5333196562537585,-0.0010560096808328848
5,9,-0.016184731360651877,0.08501650763094054,0.6528971903275655,0.36299135540481886
6,10,0.052069656848183196,0.3002078628673297,0.5357177990301002,0.17951991657615393
7,11,-0.05416004312457023,0.2574467724193827,0.548476335034015,-0.03786566824489049
8,12,-0.3126193220438376,-0.09284710635155859,0.2682963273583724,0.010596523875563741
9,13,,,,
10,14,-0.6654532865139363,-0.43298593766230387,0.7946918715620349,0.42962473968704956
11,15,,,,
